tool	yearPublished	journal	impactFactor(2017)	Journal H5-index(2017)	totalCitations(2017)	totalCitations(2020)	H-index: (Corresponding author)(2017)	M-index (Corresponding author)(2017)	H (2020)	M (2020)	Versions	Commits (Github)	Contributers (Github)	Github repo	fullCite	
prada	2014	Bioinformatics	NA	NA	NA	133	NA		Gad Getz:179	8.95	1	NA	NA	NA	Torres-García W, Zheng S, Sivachenko A, Vegesna R, Wang Q, Yao R, Berger MF, Weinstein JN, Getz G, Verhaak RG. PRADA: pipeline for RNA sequencing data analysis. Bioinformatics. 2014 Aug 1;30(15):2224-6.	
pragcz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	
prank	2005	Proceedings of the National Academy of Sciences	NA	NA	NA	877	NA		Ari Löytynoja:20	1.05	1.170427	121	1	https://github.com/ariloytynoja/prank-msa	Löytynoja A, Goldman N. An algorithm for progressive multiple alignment of sequences with insertions. Proceedings of the National Academy of Sciences. 2005 Jul 26;102(30):10557-62.	
prestplus	2014	BMC proceedings 	NA	NA	NA	28	NA		Apostolos Dimitromanolakis:24	1.33	1	NA	NA	NA	Sun L, Dimitromanolakis A. PREST-plus identifies pedigree errors and cryptic relatedness in the GAW18 sample using genome-wide SNP data. In BMC proceedings 2014 Jun 1 (Vol. 8, No. S1, p. S23). BioMed Central.	
prime	2006	BMC bioinformatics	NA	NA	NA	32	NA		NA	NA	1.1	NA	NA	NA	Yamada S, Gotoh O, Yamana H. Improvement in accuracy of multiple sequence alignment using novel group-to-group sequence alignment algorithm with piecewise linear gap cost. BMC bioinformatics. 2006 Dec 1;7(1):524.	
prism	2012	Bioinformatics	NA	NA	NA	123	NA		Michael Brudno:56	2.80	1.16	NA	NA	NA	Jiang Y, Wang Y, Brudno M. PRISM: pair-read informed split-read mapping for base-pair level detection of insertion, deletion and structural variants. Bioinformatics. 2012 Oct 15;28(20):2576-83.	
probalign	2006	Bioinformatics	4.981	106	151	234	Usman Roshan:14	Usman Roshan:1	Usman Roshan:14	0.74	1	NA	NA	NA	Roshan, U., & Livesay, D. R. (2006). Probalign: multiple sequence alignment using partition function posterior probabilities. Bioinformatics, 22(22), 2715-2721.	
probcons	2005	Genome research	14.630	107	888	1273	Serafim Batzoglou:47	Serafim Batzoglou:3.1	Serafim Batzoglou:59	2.46	1	NA	NA	NA	Do, Chuong B., Mahathi SP Mahabhashyam, Michael Brudno, and Serafim Batzoglou. "ProbCons: Probabilistic consistency-based multiple sequence alignment." Genome research 15, no. 2 (2005): 330-340.	
probtree	2008	Pacific Symposium on Biocomputing	NA	21	31	41	Tandy Warnow:48	Tandy Warnow:2.18	Tandy Warnow:64	2.13	1	NA	NA	NA	Nelesen, S. M., Liu, K., Zhao, D., Linder, C. R., & Warnow, T. (2008). The Effect of the Guide Tree on Multiple Sequence Alignments and Subsequent Phylogenetic Analysis. In Pacific Symposium on Biocomputing (Vol. 13, No. 2008, pp. 25-36).	
process	2005	NA	NA	NA	32	40	NA	NA	NA	NA	1	NA	NA	NA	Li, X., Gentleman, R., Lu, X., Shi, Q., Iglehart, J. D., Harris, L., & Miron, A. (2005). SELDI-TOF mass spectrometry protein data. In Bioinformatics and Computational Biology solutions using R and Bioconductor (pp. 91-109). Springer New York.	
promals	2008	Nucleic acids research	NA	NA	NA	1011	NA		NA	NA	1	NA	NA	NA	Pei J, Kim BH, Grishin NV. PROMALS3D: a tool for multiple protein sequence and structure alignments. Nucleic acids research. 2008 Apr 1;36(7):2295-300.	
proovread	2014	Bioinformatics	NA	NA	NA	301	NA		Frank Förster:21	1.75	2.141	412	3	https://github.com/BioInf-Wuerzburg/proovread	Hackl T, Hedrich R, Schultz J, Forster F. proovread: large-scale high-accuracy PacBio correction through iterative short read consensus. Bioinformatics. 2014;30:3004–11	
pseudogp	2016	PLoS computational biology	NA	NA	NA	51	NA		Christopher Yau:26	1.86	1	43	3	https://github.com/kieranrcampbell/pseudogp	Campbell KR, Yau C. Order under uncertainty: robust differential expression analysis using probabilistic models for pseudotime inference. PLoS computational biology. 2016 Nov 21;12(11):e1005212.	
pso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	
pt	2006	Machine Learning: ECML 2006	NA	NA	281	494	Alessandro Moschitti:35	Alessandro Moschitti:2.69	Alessandro Moschitti:50	2.38	1	NA	NA	NA	Moschitti, Alessandro. "Efficient convolution kernels for dependency and constituent syntactic trees." In Machine Learning: ECML 2006, pp. 318-329. Springer Berlin Heidelberg, 2006.	
qiime	2010	Nature methods	32.072	125	3432	21646	Rob Knight:95	Rob Knight:9.5	Rob Knight:187	8.50	1.91	7718	54	https://github.com/biocore/qiime	Caporaso, J. Gregory, Justin Kuczynski, Jesse Stombaugh, Kyle Bittinger, Frederic D. Bushman, Elizabeth K. Costello, Noah Fierer et al. "QIIME allows analysis of high-throughput community sequencing data." Nature methods 7, no. 5 (2010): 335-336.	
qiimess	2010	Nature methods	32.072	125	3432	21646	Rob Knight:95	Rob Knight:9.5	Rob Knight:187	8.50	1.91	7718	54	https://github.com/biocore/qiime	Caporaso, J. Gregory, Justin Kuczynski, Jesse Stombaugh, Kyle Bittinger, Frederic D. Bushman, Elizabeth K. Costello, Noah Fierer et al. "QIIME allows analysis of high-throughput community sequencing data." Nature methods 7, no. 5 (2010): 335-336.	
qsra	2009	BMC bioinformatics	2.576	74	71	90	Doug W. Bryant, Jr.:10	Doug W. Bryant, Jr.:1.67	Doug W. Bryant, Jr.:15	1.36	1	NA	NA	NA	Bryant, Douglas W., Weng-Keen Wong, and Todd C. Mockler. "QSRA–a quality-value guided de novo short read assembler." BMC bioinformatics 10, no. 1 (2009): 69.	
quake	2010	Genome biology	10.800	83	314	619	David R Kelley:13	David R Kelley:1.86	David R Kelley:22	1.83	1	NA	NA	NA	Kelley, D. R., Schatz, M. C., & Salzberg, S. L. (2010). Quake: quality-aware detection and correction of sequencing errors. Genome Biol, 11(11), R116.	
raceid_stemid	2016	Cell stem cell	NA	NA	NA	260	NA		Alexander van Oudenaarden:94	3.92	1	5	1	https://github.com/dgrun/StemID	Grün D, Muraro MJ, Boisset JC, Wiebrands K, Lyubimova A, Dharmadhikari G, van den Born M, Van Es J, Jansen E, Clevers H, de Koning EJ. De novo prediction of stem cell identity using single-cell transcriptome data. Cell stem cell. 2016 Aug 4;19(2):266-77.	
racer	2013	Bioinformatics	NA	NA	NA	86	NA		Lucian Ilie:28	1.08	1.01	15	3	https://github.com/lucian-ilie/RACER	Ilie L, Molnar M. RACER: rapid and accurate correction of errors in reads. Bioinformatics. 2013 Oct 1;29(19):2490-3.	
raiphy	2011	BMC bioinformatics	2.576	74	39	85	NA	NA	NA	NA	1	NA	NA	NA	Nalbantoglu, O. U., Way, S. F., Hinrichs, S. H., & Sayood, K. (2011). RAIphy: phylogenetic classification of metagenomics samples using iterative refinement of relative abundance index profiles. BMC bioinformatics, 12(1), 41.	
raptr	2015	Bioinformatics	NA	NA	NA	19	NA		Derek Bickhart:31	2.21	1.015	158	1	https://github.com/njdbickhart/RAPTR-SV	Bickhart DM, Hutchison JL, Xu L, Schnabel RD, Taylor JF, Reecy JM, Schroeder S, Van Tassell CP, Sonstegard TS, Liu GE. RAPTR-SV: a hybrid method for the detection of structural variants. Bioinformatics. 2015 Jul 1;31(13):2084-90.	
raven	2020	bioRxiv	NA	NA	NA	0	NA		Mile Sikic:17	0.94	1.22	57	2	https://github.com/lbcb-sci/raven	Vaser R, Sikic M. Raven: a de novo genome assembler for long reads. bioRxiv. 2020 Jan 1.	
ravenna	2006	Bioinformatics	4.981	106	87	117	Walter L. Ruzzo:43	Walter L. Ruzzo:1.34	Walter L. Ruzzo:49	1.04	1	NA	NA	NA	Weinberg, Zasha, and Walter L. Ruzzo. "Sequence-based heuristics for faster annotation of non-coding RNA families." Bioinformatics 22, no. 1 (2006): 35-39.	
raxml	2014	Bioinformatics	4.981	106	708	15106	Alexandros Stamatakis:40	Alexandros Stamatakis:3.33	Alexandros Stamatakis:59	2.81	8.212	421	6	https://github.com/stamatak/standard-RAxML	Stamatakis, Alexandros. "RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies." Bioinformatics 30.9 (2014): 1312-1313.	
raxmllimited	2014	Bioinformatics	4.981	106	708	15106	Alexandros Stamatakis:40	Alexandros Stamatakis:3.33	Alexandros Stamatakis:59	2.81	8.212	421	6	https://github.com/stamatak/standard-RAxML	Stamatakis, Alexandros. "RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies." Bioinformatics 30.9 (2014): 1312-1313.	
rdiffparam	2013	Nucleic acids research	9.112	172	22	46	Philipp Drewe:8; Gunnar Rätsch:53	Philipp Drewe:2; Gunnar Rätsch:3.53	Philipp Drewe:12; Gunnar Rätsch:71	1.2; 3.09	1	NA	NA	NA	Drewe, Philipp, Oliver Stegle, Lisa Hartmann, André Kahles, Regina Bohnert, Andreas Wachter, Karsten Borgwardt, and Gunnar Rätsch. "Accurate detection of differential RNA processing." Nucleic acids research 41, no. 10 (2013): 5189-5198.	
rdxplorer	2009	Genome research	NA	NA	NA	603	NA		NA	NA	3.2	NA	NA	NA	Yoon S, Xuan Z, Makarov V, Ye K, Sebat J. Sensitive and accurate detection of copy number variants using read depth of coverage. Genome research. 2009 Sep 1;19(9):1586-92.	
readdepth	2011	PloS one	NA	NA	NA	203	NA		Aleksandar Milosavljevic:47	1.52	1	16	2	https://github.com/chrisamiller/readDepth	Miller CA, Hampton O, Coarfa C, Milosavljevic A. ReadDepth: a parallel R package for detecting copy number alterations from short sequencing reads. PloS one. 2011 Jan 31;6(1):e16327.	
reap	2012	The American Journal of Human Genetics	NA	NA	NA	180	NA		Timothy A. Thornton:30	2.73	1	NA	NA	NA	Thornton T, Tang H, Hoffmann TJ, Ochs-Balcom HM, Caan BJ, Risch N. Estimating kinship in admixed populations. The American Journal of Human Genetics. 2012 Jul 13;91(1):122-38.	
recat	2017	Nature communications	NA	NA	NA	44	NA		Ting Chen:44	1.83	1	49	3	https://github.com/tinglab/reCAT	Liu Z, Lou H, Xie K, Wang H, Chen N, Aparicio OM, Zhang MQ, Jiang R, Chen T. Reconstructing cell cycle pseudo time-series via single-cell transcriptome data. Nature communications. 2017 Jun 19;8(1):1-9.	
reckoner	2017	Bioinformatics	NA	NA	NA	10	NA		Sebastian Deorowicz:24	1.20	1	NA	NA	NA	Długosz M, Deorowicz S. RECKONER: read error corrector based on KMC. Bioinformatics. 2017 Apr 1;33(7):1086-9.	
redbean	2020	Nature methods	NA	NA	NA	144	NA		Heng Li:53	3.31	2.5	435	6	https://github.com/ruanjue/wtdbg2	Ruan J, Li H. Fast and accurate long-read assembly with wtdbg2. Nature methods. 2020 Feb;17(2):155-8.	
refinedibd	2013	The American Journal of Human Genetics	NA	NA	NA	15	NA		Brian Browning:43	2.15	1.1206	NA	NA	NA	Browning BL, Browning SR. Detecting identity by descent and estimating genotype error rates in sequence data. The American Journal of Human Genetics. 2013 Nov 7;93(5):840-51.	
relateadmix	2014	Bioinformatics	NA	NA	NA	46	NA		Anders Albrechtsen:55	3.93	1	18	1	https://github.com/aalbrechtsen/relateAdmix	Moltke I, Albrechtsen A. RelateAdmix: a software tool for estimating relatedness between admixed individuals. Bioinformatics. 2014 Apr 1;30(7):1027-8.	
repeatfinder	2001	Genome biology	10.800	83	151	179	NA	NA	NA	NA	1	NA	NA	NA	Volfovsky, N., Haas, B. J., & Salzberg, S. L. (2001). A clustering method for repeat analysis in DNA sequences. Genome Biol, 2(8), 0027-1.	
repeatgluer	2004	Genome research	14.630	107	194	277	NA	NA	NA	NA	1	NA	NA	NA	Pevzner, P. A., Tang, H., & Tesler, G. (2004). De novo repeat classification and fragment assembly. Genome research, 14(9), 1786-1796.	
repeatscout	2005	Bioinformatics	4.981	106	425	1031	Pavel Pevzner:74	Pavel Pevzner:3.7	Pavel Pevzner:93	2.82	1	NA	NA	NA	Price, A. L., Jones, N. C., & Pevzner, P. A. (2005). De novo identification of repeat families in large genomes. Bioinformatics, 21(suppl 1), i351-i358.	
reptile	2010	Bioinformatics	4.981	106	99	172	Xiao Yang:12; Srinivas Aluru:31	Xiao Yang:1.09; Srinivas Aluru:1.55	Xiao Yang:20; Srinivas Aluru:40	1.25; 2.11	NA	NA	NA	NA	Yang, X., Dorman, K. S., & Aluru, S. (2010). Reptile: representative tiling for short read error correction. Bioinformatics, 26(20), 2526-2533.	
rmap	2009	Bioinformatics	4.981	106	114	188	NA	NA	Andrew D Smith:45	2.37	2.1	397	7	https://github.com/smithlabcode/rmap	Smith, A. D., Chung, W.-Y., Hodges, E., Kendall, J., Hannon, G., Hicks, J., … Zhang, M. Q. (2009). Updates to the RMAP short-read mapping software. Bioinformatics, 25(21), 2841–2842. doi:10.1093/bioinformatics/btp533	
rnacofold	2006	Algorithms for molecular biology	1.463	19	174	256	NA	NA	Stephan Bernhart:32	2.00	1	NA	NA	NA	Bernhart, S. H., Tafer, H., Mückstein, U., Flamm, C., Stadler, P. F., & Hofacker, I. L. (2006). Partition function and base pairing probabilities of RNA heterodimers. Algorithms for Molecular Biology : AMB, 1(1), 3. doi:10.1186/1748-7188-1-3	
rnaduplex	2011	Algorithms for molecular biology	1.463	19	404	2399	Ivo Hofacker:56; Ronny Lorenz:8	Ivo Hofacker:2.8; Ronny Lorenz:1.14	Ivo Hofacker:69; Ronny Lorenz:20	1.43; 2.3	1	NA	NA	NA	Lorenz, R., Bernhart, S. H., Höner Zu Siederdissen, C., Tafer, H., Flamm, C., Stadler, P. F., & Hofacker, I. L. (2011). ViennaRNA Package 2.0. Algorithms for Molecular Biology : AMB, 6, 26. doi:10.1186/1748-7188-6-26	
rnahybrid	2004	RNA	4.600	54	1173	2081	NA	NA	Marc Rehmsmeier:22	1.00	1	NA	NA	NA	Rehmsmeier, M., Steffen, P., Hochsmann, M., & Giegerich, R. (2004). Fast and effective prediction of microRNA/target duplexes. RNA (New York, N.Y.), 10(10), 1507–17. doi:10.1261/rna.5248604	
rnaplex	2008	Bioinformatics	4.981	106	74	267	Ivo Hofacker:56	Ivo Hofacker:2.8	Ivo Hofacker:69 	2.30	1	NA	NA	NA	Tafer, H., & Hofacker, I. L. (2008). RNAplex: a fast tool for RNA-RNA interaction search. Bioinformatics (Oxford, England), 24(22), 2657–63. doi:10.1093/bioinformatics/btn193	
rnaup	2006	Bioinformatics	4.981	106	209	352	Ivo Hofacker:56	Ivo Hofacker:2.8	Ivo Hofacker:69 	2.30	1	NA	NA	NA	Mückstein, U., Tafer, H., Hackermüller, J., Bernhart, S. H., Stadler, P. F., & Hofacker, I. L. (2006). Thermodynamics of RNA-RNA binding. Bioinformatics (Oxford, England), 22(10), 1177–82. doi:10.1093/bioinformatics/btl024	
rsearch	2003	BMC bioinformatics	2.576	74	284	306	Sean R. Eddy:71	Sean R. Eddy:4.18	Sean R. Eddy:91	3.03	1	NA	NA	NA	Klein, Robert J., and Sean R. Eddy. "RSEARCH: finding homologs of single structured RNA sequences." BMC bioinformatics 4, no. 1 (2003): 44.	
rsicnv	2014	Biostatistics	NA	NA	NA	5	NA		NA	NA	1	1	1	https://github.com/yhwu/rsicnv	Vardhanabhuti S, Jeng XJ, Wu Y, Li H. Parametric modeling of whole-genome sequencing data for CNV identification. Biostatistics. 2014 Jul 1;15(3):427-41.	
rsmatch	2005	BMC bioinformatics	2.576	74	61	92	Bin Tian:36	Bin Tian:2.57	Bin Tian:53	2.65	1	NA	NA	NA	Liu, Jianghui, Jason TL Wang, Jun Hu, and Bin Tian. "A method for aligning RNA secondary structures and its application to RNA motif detection." BMC bioinformatics 6, no. 1 (2005): 89.	
rswseg	2010	BMC bioinformatics	NA	NA	NA	54	NA		Peter J Park:101	5.05	1	NA	NA	NA	Kim TM, Luquette LJ, Xi R, Park PJ. rSW-seq: algorithm for detection of copy number alterations in deep sequencing data. BMC bioinformatics. 2010 Dec 1;11(1):432.	
rum	2011	Bioinformatics	NA	NA	NA	357	NA		Eric A Pierce:49	1.69	2.0506	1530	3	https://github.com/itmat/rum	Grant GR, Farkas MH, Pizarro AD, Lahens NF, Schug J, Brunk BP, Stoeckert CJ, Hogenesch JB, Pierce EA. Comparative analysis of RNA-Seq alignment algorithms and the RNA-Seq unified mapper (RUM). Bioinformatics. 2011 Sep 15;27(18):2518-28.	
sam	1995	Bioinformatics	4.981	106	549	641	Richard Hughey:30	Richard Hughey:1.36	Richard Hughey:31	0.94	3.5	NA	NA	NA	Hughey, Richard, and Anders Krogh. "Hidden Markov models for sequence analysis: extension and analysis of the basic method." Computer applications in the biosciences: CABIOS 12, no. 2 (1996): 95-107.	
sate	2011	Systematic biology	14.387	57	138	323	C. Randal Linder:34	C. Randal Linder:1.6	C. Randal Linder:39	1.18	2	NA	NA	NA	Liu, Kevin, et al. "SATe-II: very fast and accurate simultaneous estimation of multiple sequence alignments and phylogenetic trees." Systematic biology (2011): syr095.	
scanorama	2019	Nature biotechnology	NA	NA	NA	116	NA		Bonnie Berger:69	2.23	1.7	182	5	https://github.com/brianhie/scanorama	Hie B, Bryson B, Berger B. Efficient integration of heterogeneous single-cell transcriptomes using Scanorama. Nature biotechnology. 2019 Jun;37(6):685-91.	
scdd	2016	Genome Biology				127			Christina Kendziorski:44	2.00	3	263	6	https://github.com/kdkorthauer/scDD	Korthauer KD, Chu LF, Newton MA, Li Y, Thomson J, Stewart R, Kendziorski C. A statistical approach for identifying differential distributions in single-cell RNA-seq experiments. Genome biology. 2016 Dec 1;17(1):222.	
scde	2014	Nature methods	NA	NA	NA	790	NA		NA	NA	3	146	8	https://github.com/hms-dbmi/scde	Kharchenko PV, Silberstein L, Scadden DT. Bayesian approach to single-cell differential expression analysis. Nature methods. 2014 Jul;11(7):740-2.	
scgen	2018	bioRxiv	NA	NA	NA	8	NA		Fabian J Theis:77	4.05	1.13	295	4	https://github.com/theislab/scGen	Lotfollahi M, Wolf FA, Theis FJ. Generative modeling and latent space arithmetics predict single-cell perturbation response across cell types, studies and species. bioRxiv. 2018 Jan 1:478503.	
scimitar	2017	Pacific Symposium on Biocomputing	NA	NA	NA	11	NA		Joshua M Stuart:82	3.57	1	34	1	https://github.com/dimenwarper/scimitar	Cordero P, Stuart JM. Tracing co-regulatory network dynamics in noisy, single-cell transcriptome trajectories. InPACIFIC SYMPOSIUM ON BIOCOMPUTING 2017 2017 (pp. 576-587).	
scmerge	2019	Proceedings of the National Academy of Sciences	NA	NA	NA	37	NA		Jean Yee Hwa Yang:46	2.00	1.9923	251	5	https://github.com/SydneyBioX/scMerge	Lin Y, Ghazanfar S, Wang KY, Gagnon-Bartsch JA, Lo KK, Su X, Han ZG, Ormerod JT, Speed TP, Yang P, Yang JY. scMerge leverages factor analysis, stable expression, and pseudoreplication to merge multiple single-cell RNA-seq datasets. Proceedings of the National Academy of Sciences. 2019 May 14;116(20):9775-84.	
scode	2017	Bioinformatics	NA	NA	NA	92	NA		NA	NA	1	11	1	https://github.com/hmatsu1226/SCODE	Matsumoto H, Kiryu H, Furusawa C, Ko MS, Ko SB, Gouda N, Hayashi T, Nikaido I. SCODE: an efficient regulatory network inference algorithm from single-cell RNA-Seq during differentiation. Bioinformatics. 2017 Aug 1;33(15):2314-21.	
scorpius	2016	bioRxiv	NA	NA	NA	23	NA		Yvan Saeys:49	2.45	1.07	329	3	https://github.com/rcannood/SCORPIUS	Cannoodt R, Saelens W, Sichien D, Tavernier S, Janssens S, Guilliams M, Lambrecht B, De Preter K, Saeys Y. SCORPIUS improves trajectory inference and identifies novel modules in dendritic cell development. bioRxiv. 2016 Jan 1:079509.	
scoup	2016	BMC bioinformatics	NA	NA	NA	28	NA		NA	NA	1	11	1	https://github.com/hmatsu1226/SCOUP	Matsumoto H, Kiryu H. SCOUP: a probabilistic model based on the Ornstein–Uhlenbeck process to analyze single-cell expression data during differentiation. BMC bioinformatics. 2016 Dec 1;17(1):232.	
scribe	2018	BioRxiv	NA	NA	NA	13	NA		Cole Trapnell:51	3.92	1	32	3	https://github.com/cole-trapnell-lab/Scribe	Qiu X, Rahimzamani A, Wang L, Mao Q, Durham T, McFaline-Figueroa JL, Saunders L, Trapnell C, Kannan S. Towards inferring causal gene regulatory networks from single cell expression measurements. BioRxiv. 2018 Jan 1:426981.	
scro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	
scuba	2014	Proceedings of the National Academy of Sciences	NA	NA	NA	203	NA		Guo-Cheng Yuan:53	2.52	1	40	2	https://github.com/gcyuan/SCUBA	Marco E, Karp RL, Guo G, Robson P, Hart AH, Trippa L, Yuan GC. Bifurcation analysis of single-cell gene expression data reveals epigenetic landscape. Proceedings of the National Academy of Sciences. 2014 Dec 30;111(52):E5643-50.	
scwrl	2003	Protein science	2.854	39	995	1220	Roland Dunbrack:46	Roland Dunbrack:2.19	Roland Dunbrack:59	1.90	4	NA	NA	NA	Canutescu, A. A., Shelenkov, A. A., & Dunbrack, R. L. (2003). A graph‐theory algorithm for rapid protein side‐chain prediction. Protein science, 12(9), 2001-2014.	
scwrlcons	2003	Protein science	2.854	39	995	1220	Roland Dunbrack:46	Roland Dunbrack:2.19	Roland Dunbrack:59	1.90	4	NA	NA	NA	Canutescu, A. A., Shelenkov, A. A., & Dunbrack, R. L. (2003). A graph‐theory algorithm for rapid protein side‐chain prediction. Protein science, 12(9), 2001-2014.	
segemehl	2009	PLoS Computational Biology	4.620	74	215	496	NA	NA	NA	NA	NA	NA	NA	NA	Hoffmann, Steve, et al. "Fast mapping of short sequences with mismatches, insertions and deletions using index structures." PLoS Comput Biol 5.9 (2009): e1000502.	
segmodencad	1992	Journal of molecular biology	‎4.333	62	586	712	Michael Levitt:84	Michael Levitt:2.21	Michael Levitt:93	1.82	NA	NA	NA	NA	Levitt, M. (1992). Accurate modeling of protein conformation by automatic segment matching. Journal of molecular biology, 226(2), 507-533.	
seqgsea	2014	Bioinformatics	4.981	106	9	50	Murray Cairns:27	Murray Cairns:1.59	Murray Cairns:48	1.78	3.3	67	6	https://github.com/sunlightwang/SeqGSEA_3.3	Wang, Xi, and Murray J. Cairns. "SeqGSEA: a Bioconductor package for gene set enrichment analysis of RNA-Seq data integrating differential expression and splicing." Bioinformatics (2014): btu090.	
seqman	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.dnastar.com/t-nextgen-seqman-ngen.aspx	
seqmap	2008	Bioinformatics	4.981	106	275	471	NA	NA	Wing Hung Wong:82	2.22	NA	NA	NA	NA	Jiang, H., & Wong, W. H. (2008). SeqMap: mapping massive amount of oligonucleotides to the genome. Bioinformatics, 24(20), 2395-2396.	
seurat	2018	Nature biotechnology	NA	NA	NA	2717	NA		Rahul Satija:44	3.14	3.23	5091	66	https://github.com/satijalab/seurat	Butler A, Hoffman P, Smibert P, Papalexi E, Satija R. Integrating single-cell transcriptomic data across different conditions, technologies, and species. Nature biotechnology. 2018 May;36(5):411-20.	
sga	2012	Genome research	14.630	107	264	743	Richard Durbin:104	Richard Durbin:4.95	Richard Durbin:135	3.97	1	1685	23	https://github.com/jts/sga	Simpson, Jared T., and Richard Durbin. "Efficient de novo assembly of large genomes using compressed data structures." Genome research 22.3 (2012): 549-556.	
sgrnascorer	2017	ACS Synthetic Biology	NA	NA	NA	87	NA		Raj Chari:35	2.19	2	NA	NA	NA	Chari R, Yeo NC, Chavez A, Church GM. SgRNA Scorer 2.0: A species-independent model to predict CRISPR/Cas9 activity. ACS Synthetic Biology. 2017;6(5):902–904. pmid:28146356	
shannon	2016	BioRxiv	NA	NA	NA	23	NA		David Tse:83	2.86	1	250	5	https://github.com/sreeramkannan/Shannon	Kannan S, Hui J, Mazooji K, Pachter L, Tse D. Shannon: an information-optimal de Novo RNA-Seq assembler. BioRxiv. 2016 Jan 1:039230.	
sharcgs	2007	Genome research	14.630	107	267	357	NA	NA	NA	NA	1	NA	NA	NA	Dohm, Juliane C., Claudio Lottaz, Tatiana Borodina, and Heinz Himmelbauer. "SHARCGS, a fast and highly accurate short-read assembly algorithm for de novo genomic sequencing." Genome research 17, no. 11 (2007): 1697-1706.	
shasta	2020	Nature Biotechnology	NA	NA	NA	15	NA		Benedict Paten:44	2.93	1.51	2266	9	https://github.com/chanzuckerberg/shasta	Shafin K, Pesout T, Lorig-Roach R, Haukness M, Olsen HE, Bosworth C, Armstrong J, Tigyi K, Maurer N, Koren S, Sedlazeck FJ. Nanopore sequencing and the Shasta toolkit enable efficient de novo assembly of eleven human genomes. Nature Biotechnology. 2020 May 4:1-0.	
shrimp	2009	PLoS Computational Biology	4.620	74	423	674	Michael Brudno:37	Michael Brudno:2.64	Michael Brudno:54	2.57	2	585	3	https://github.com/compbio-UofT/shrimp	Rumble, S. M., Lacroute, P., Dalca, Rumble, S. M., Lacroute, P., Dalca, A. V., Fiume, M., Sidow, A., & Brudno, M. (2009). SHRiMP: accurate mapping of short color-space reads. PLoS Comput Biol, 5(5), e1000386.	
sigemd	2018	Methods				6			Sheida Nabavi:14	0.88	1.11	11	1	https://github.com/NabaviLab/SigEMD	Wang T, Nabavi S. SigEMD: A powerful method for differential gene expression analysis in single-cell RNA sequencing data. Methods. 2018 Aug 1;145:25-32.	
simulatedannealing	1988	NA	NA	NA	480	5359	Emile Aarts:43	Emile Aarts:1.59	Emile Aarts:50	1.25	NA	NA	NA	NA	Aarts, E., & Korst, J. (1988). Simulated annealing and Boltzmann machines. John Wiley..	
sincell	2015	Bioinformatics	NA	NA	NA	45	NA		Antonio Rausell:16	0.94	1	41	9	https://github.com/RausellLab/Sincell	Juliá M, Telenti A, Rausell A. Sincell: an R/Bioconductor package for statistical assessment of cell-state hierarchies from single-cell RNA-seq. Bioinformatics. 2015 Oct 15;31(20):3380-2.	
sincera	2015	PLoS computational biology				186			Yan Xu:41	2.41	1	25	3	https://github.com/xu-lab/SINCERA	Guo M, Wang H, Potter SS, Whitsett JA, Xu Y. SINCERA: a pipeline for single-cell RNA-Seq profiling analysis. PLoS computational biology. 2015 Nov 24;11(11):e1004575.	
sincerities	2018	Bioinformatics	NA	NA	NA	50	NA		Rudiyanto Gunawan:30	1.50	1	33	1	https://github.com/CABSEL/SINCERITIES	Papili Gao N, Ud-Dean SM, Gandrillon O, Gunawan R. SINCERITIES: inferring gene regulatory networks from time-stamped single cell transcriptional expression profiles. Bioinformatics. 2018 Jan 15;34(2):258-66.	
singe	2019	BioRxiv	NA	NA	NA	10	NA		NA	NA	1.41	461	2	https://github.com/gitter-lab/SINGE	Deshpande A, Chu LF, Stewart R, Gitter A. Network inference with granger causality ensembles on single-cell transcriptomic data. BioRxiv. 2019 Jan 1:534834.	
sl	2006	Proc. of the 11st Conf. of the European Chapter of the Association for Computational Linguistics (EACL'06)	NA	NA	220	357	Claudio Giuliano:17; Alberto Lavelli:19	Claudio Giuliano:1.55; Alberto Lavelli:0.86	Claudio Giuliano:22; Alberto Lavelli:27	1.22; 0.9	NA	NA	NA	NA	Giuliano, Claudio, Alberto Lavelli, and Lorenza Romano. "Exploiting shallow linguistic information for relation extraction from biomedical literature." In EACL, vol. 18, pp. 401-408. 2006.	
slice	2017	Nucleic acids research	NA	NA	NA	72	NA		Yan Xu:41	2.41	1	13	3	https://github.com/xu-lab/SLICE	Guo M, Bao EL, Wagner M, Whitsett JA, Xu Y. SLICE: determining cell differentiation and lineage based on single cell entropy. Nucleic acids research. 2017 Apr 20;45(7):e54-.	
slicer	2016	Genome biology	NA	NA	NA	121	NA		Jan F. Prins:45	1.36	1	37	2	https://github.com/jw156605/SLICER	Welch JD, Hartemink AJ, Prins JF. SLICER: inferring branched, nonlinear cellular trajectories from single cell RNA-seq data. Genome biology. 2016 Dec;17(1):1-5.	
